Model,MAE,RMSE,R2,Rank_by_MAE,Rank_by_RMSE,Rank_by_R2
Ridge Regression,2447.941990486958,2846.574767274297,0.991861982141464,1,1,1
Linear Regression,2448.5489013807423,2846.943546594696,0.991859873412664,2,2,2
Gradient Boosting,2484.553877719375,2905.719541786694,0.9915202931976559,3,3,3
Random Forest,2548.086696828443,2993.783641706704,0.9909985127652532,4,4,4
Decision Tree,2723.806172559435,3278.125750874296,0.9892074351584169,5,5,5
Extra Trees,2803.145634925327,3395.1487635669237,0.9884231324531936,6,6,6
